city	x	y
2166	382	341
2167	52	431
2168	328	930
2169	936	133
2170	716	10
2171	384	335
2172	169	620
2173	28	450
2174	526	29
2175	881	719
2176	905	51
2177	805	800
2178	995	609
2179	314	621
2180	43	565
2181	507	348
2182	127	313
2183	108	683
2184	956	272
2185	471	766
2186	907	133
2187	70	237
2188	698	680
2189	878	811
2190	416	19
2191	388	719
2192	533	769
2193	603	567
2194	386	116
2195	304	591
2196	307	374
2197	589	494
2198	656	387
2199	83	353
2200	333	267
2201	118	234
2202	341	761
2203	257	897
2204	336	179
2205	582	35
2206	930	252
2207	987	526
2208	448	258
2209	611	300
2210	690	36
2211	414	141
2212	312	74
2213	419	494
2214	634	161
2215	512	546
2216	549	546
2217	751	501
2218	739	235
2219	788	763
2220	34	420
2221	815	390
2222	78	418
2223	498	136
2224	374	157
2225	652	616
2226	600	654
2227	611	601
2228	7	296
2229	490	775
2230	45	78
2231	649	109
2232	553	227
2233	452	240
2234	993	842
2235	782	755
2236	8	772
2237	403	363
2238	885	747
2239	345	202
2240	732	169
2241	24	415
2242	640	1
2243	292	543
2244	189	954
2245	52	838
2246	621	218
2247	68	26
2248	9	586
2249	477	904
2250	603	202
2251	15	598
2252	971	962
2253	922	156
2254	399	29
2255	53	251
2256	846	809
2257	479	65
2258	905	274
2259	876	438
2260	481	848
2261	828	492
2262	732	480
2263	663	255
2264	697	420
2265	718	684
2266	174	704
2267	510	635
2268	201	541
2269	953	232
2270	760	344
2271	168	59
2272	31	983
2273	421	189
2274	660	828
2275	745	225
2276	505	33
2277	457	442
2278	120	288
2279	23	989
2280	194	750
2281	967	333
2282	691	147
2283	742	828
2284	939	836
2285	906	799
2286	17	832
2287	388	846
2288	76	539
2289	552	266
2290	300	62
2291	725	696
2292	609	433
2293	455	714
2294	942	973
2295	994	982
2296	792	469
2297	284	923
2298	965	850
2299	35	971
2300	445	685
2301	343	178
2302	130	824
2303	944	434
2304	543	837
2305	791	98
2306	402	241
2307	381	367
2308	555	956
2309	269	191
2310	421	96
2311	283	131
2312	957	962
2313	726	162
2314	910	860
2315	582	122
2316	782	442
2317	762	470
2318	270	822
2319	466	362
2320	934	778
2321	639	380
2322	113	407
2323	865	778
2324	862	180
2325	935	125
2326	923	512
2327	384	789
2328	809	466
2329	706	729
2330	385	580
2331	313	464
2332	368	903
2333	155	473
2334	170	950
2335	120	568
2336	302	892
2337	663	444
2338	179	887
2339	373	686
2340	503	488
2341	998	842
2342	325	913
2343	373	557
2344	861	21
2345	838	2
2346	678	21
2347	56	810
2348	957	463
2349	581	582
2350	947	244
2351	705	762
2352	823	112
2353	885	552
2354	414	427
2355	66	243
2356	949	607
2357	68	76
2358	583	627
2359	869	102
2360	639	284
2361	280	194
2362	532	560
2363	741	317
2364	559	641
2365	79	695
2366	915	824
2367	335	352
2368	69	734
2369	72	643
2370	28	136
2371	515	692
2372	143	163
2373	775	492
2374	261	502
2375	8	226
2376	825	478
2377	124	273
2378	471	155
2379	72	674
2380	34	962
2381	900	633
2382	550	534
2383	279	764
2384	965	877
2385	409	462
2386	513	922
2387	615	916
2388	753	903
2389	900	140
2390	903	451
2391	737	378
2392	456	310
2393	603	561
2394	515	388
2395	888	2
2396	622	426
2397	765	905
2398	168	991
2399	953	208
2400	697	305
2401	527	358
2402	821	930
2403	731	216
2404	636	596
2405	30	241
2406	358	732
2407	632	37
2408	607	210
2409	762	128
2410	332	456
2411	717	213
2412	721	248
2413	786	18
2414	619	776
2415	135	170
2416	614	303
2417	264	70
2418	601	45
2419	543	554
2420	702	560
2421	56	632
2422	381	337
2423	31	602
2424	965	832
2425	110	244
2426	24	670
2427	252	952
2428	465	990
2429	961	378
2430	767	349
2431	820	745
2432	170	747
2433	30	842
2434	432	345
2435	551	477
2436	106	934
2437	191	296
2438	35	488
2439	593	850
2440	722	215
2441	23	340
2442	811	465
2443	817	317
2444	62	53
2445	353	266
2446	912	592
2447	187	460
2448	660	183
2449	539	932
2450	421	435
2451	669	37
2452	45	88
2453	829	571
2454	975	532
2455	430	141
2456	871	734
2457	362	695
2458	285	94
2459	88	301
2460	974	297
2461	21	702
2462	323	448
2463	70	753
2464	586	715
2465	221	659
2466	40	268
2467	443	318
2468	218	269
2469	645	408
2470	895	674
2471	881	223
2472	898	875
2473	448	820
2474	299	321
2475	485	564
2476	140	724
2477	573	317
2478	997	644
2479	791	986
2480	381	891
2481	687	983
2482	601	576
2483	71	526
2484	157	94
2485	581	454
2486	846	751
2487	723	253
2488	205	343
2489	863	985
2490	803	457
2491	407	139
2492	523	510
2493	562	307
2494	589	69
2495	394	969
2496	516	652
2497	395	587
2498	128	427
2499	302	818
2500	34	959
2501	486	400
2502	11	864
2503	787	318
2504	244	642
2505	231	914
2506	590	243
2507	402	813
2508	162	673
2509	690	634
2510	469	290
2511	832	601
2512	563	392
2513	87	245
2514	151	719
2515	702	134
2516	82	912
2517	900	481
2518	3	351
2519	258	543
2520	106	705
2521	816	418
2522	529	801
2523	592	22
2524	805	535
2525	787	973
2526	153	159
2527	730	849
2528	177	263
2529	796	855
2530	678	377
2531	362	873
2532	798	46
2533	761	963
2534	419	831
2535	709	37
2536	378	626
2537	955	766
2538	290	996
2539	331	941
2540	791	244
2541	46	142
2542	412	909
2543	52	61
2544	566	511
2545	268	917
2546	933	774
2547	230	61
2548	487	815
2549	278	559
2550	57	349
2551	65	355
2552	503	77
2553	733	419
2554	527	271
2555	341	621
2556	475	60
2557	723	491
2558	867	646
2559	935	986
2560	69	690
2561	25	626
2562	164	898
2563	351	944
2564	330	166
2565	847	528
2566	914	348
2567	337	431
2568	540	405
2569	184	802
2570	23	967
2571	283	362
2572	602	245
2573	116	946
2574	700	460
2575	151	923
2576	579	214
2577	769	545
2578	758	229
2579	204	286
2580	477	363
2581	731	298
2582	411	488
2583	771	904
2584	89	700
2585	461	655
2586	251	253
2587	792	862
2588	762	266
2589	229	37
2590	858	625
2591	388	622
2592	759	153
2593	527	624
2594	866	446
2595	801	554
2596	165	759
2597	326	9
2598	988	269
2599	372	854
2600	901	607
2601	592	549
2602	538	354
2603	749	236
2604	627	130
2605	346	280
2606	904	303
2607	619	117
2608	539	393
2609	964	941
2610	164	875
2611	35	848
2612	487	106
2613	239	628
2614	361	601
2615	465	970
2616	633	622
2617	961	49
2618	920	718
2619	586	297
2620	588	310
2621	184	444
2622	689	420
2623	494	843
2624	138	258
2625	787	975
2626	550	246
2627	666	845
2628	117	518
2629	478	681
2630	723	248
2631	199	395
2632	916	303
2633	687	649
2634	94	56
2635	722	580
2636	764	902
2637	50	276
2638	383	981
2639	52	12
2640	654	842
2641	581	429
2642	590	637
2643	939	504
2644	595	549
2645	789	892
2646	688	439
2647	59	407
2648	657	516
2649	666	849
2650	688	480
2651	943	156
2652	511	571
2653	176	727
2654	781	180
2655	145	311
2656	166	827
2657	329	278
2658	59	684
2659	893	636
2660	557	604
2661	122	819
2662	920	122
2663	698	676
2664	586	367
2665	972	790
2666	56	774
2667	231	360
2668	150	653
2669	463	774
2670	533	159
2671	73	661
2672	360	314
2673	771	998
2674	43	754
2675	187	63
2676	980	614
2677	656	639
2678	780	844
2679	878	857
2680	492	1
2681	838	734
2682	704	828
2683	429	984
2684	28	136
2685	902	912
2686	259	690
2687	349	12
2688	241	474
2689	311	48
2690	886	864
2691	472	141
2692	456	746
2693	431	961
2694	656	833
2695	103	675
2696	391	121
2697	251	353
2698	638	195
2699	781	570
2700	155	834
2701	477	410
2702	97	903
2703	12	563
2704	863	21
2705	394	377
2706	387	468
2707	77	533
2708	673	17
2709	592	946
2710	650	582
2711	722	88
2712	764	963
2713	463	778
2714	405	568
2715	719	261
2716	9	239
2717	637	964
2718	299	684
2719	224	488
2720	89	936
2721	911	510
2722	490	271
2723	734	472
2724	284	207
2725	478	93
2726	116	526
2727	759	738
2728	812	615
2729	433	365
2730	162	91
2731	74	130
2732	340	884
2733	72	977
2734	464	948
2735	102	876
2736	991	168
2737	859	554
2738	548	728
2739	294	971
2740	758	898
2741	292	657
2742	7	697
2743	856	744
2744	897	352
2745	900	886
2746	827	547
2747	81	867
2748	990	145
2749	127	980
2750	521	281
2751	577	242
2752	278	820
2753	726	686
2754	523	348
2755	899	793
2756	257	984
2757	43	468
2758	893	462
2759	880	122
2760	926	335
2761	540	216
2762	165	493
2763	929	422
2764	164	362
2765	703	319
2766	198	888
2767	368	673
2768	977	696
2769	536	919
2770	653	830
2771	914	135
2772	294	802
2773	875	100
2774	81	12
2775	401	903
2776	618	682
2777	617	331
2778	669	565
2779	707	564
2780	623	778
2781	98	886
2782	812	154
2783	276	258
2784	651	742
2785	300	130
2786	539	133
2787	454	613
2788	434	511
2789	310	671
2790	737	211
2791	363	634
2792	717	659
2793	221	772
2794	813	716
2795	669	98
2796	475	737
2797	293	426
2798	334	531
2799	409	288
2800	465	928
2801	148	643
2802	383	120
2803	945	600
2804	820	867
2805	182	663
2806	362	788
2807	291	978
2808	425	201
2809	683	242
2810	419	257
2811	858	478
2812	329	169
2813	975	579
2814	574	377
2815	195	776
2816	130	207
2817	109	587
2818	534	954
2819	622	570
2820	502	196
2821	505	593
2822	265	749
2823	504	240
2824	349	218
2825	355	457
2826	749	131
2827	418	442
2828	862	408
2829	680	922
2830	848	411
2831	260	307
2832	654	667
2833	861	83
2834	168	714
2835	221	950
2836	799	574
2837	274	98
2838	961	712
2839	296	488
2840	302	479
2841	285	103
2842	367	801
2843	636	561
2844	794	988
2845	699	596
2846	491	874
2847	566	321
2848	529	547
2849	634	113
2850	140	870
2851	177	113
2852	428	286
2853	486	577
2854	348	225
2855	274	618
2856	848	574
2857	930	139
2858	150	509
2859	417	656
2860	802	403
2861	943	111
2862	122	413
2863	660	779
2864	581	306
2865	432	129
2866	270	170
2867	886	462
2868	399	590
2869	278	639
2870	691	773
2871	289	844
2872	922	975
2873	521	755
2874	552	834
2875	928	861
2876	696	17
2877	233	291
2878	371	388
2879	126	308
2880	314	165
2881	350	925
2882	960	225
2883	73	552
2884	455	255
2885	374	415
2886	288	210
2887	773	723
2888	25	990
2889	131	581
2890	231	221
2891	679	898
2892	237	901
2893	579	820
2894	980	506
2895	248	525
2896	984	166
2897	264	995
2898	864	102
2899	81	887
2900	598	843
2901	507	662
2902	53	318
2903	44	871
2904	307	240
2905	930	181
2906	218	226
2907	637	329
2908	706	5
2909	378	803
2910	843	494
2911	999	829
2912	320	257
2913	324	824
2914	818	253
2915	867	973
2916	134	501
2917	814	129
2918	63	26
2919	265	706
2920	915	298
2921	795	125
2922	589	394
2923	937	349
2924	874	377
2925	598	424
2926	503	747
2927	187	52
2928	349	756
2929	250	966
2930	415	465
2931	922	939
2932	173	87
2933	287	587
2934	56	221
2935	375	682
2936	335	905
2937	516	677
2938	624	122
2939	788	294
2940	662	630
2941	326	263
2942	747	316
2943	333	212
2944	462	243
2945	406	843
2946	939	690
2947	861	900
2948	437	319
2949	689	179
2950	58	839
2951	219	568
2952	570	86
2953	372	323
2954	755	772
2955	672	678
2956	430	324
2957	747	758
2958	809	335
2959	183	480
2960	787	616
2961	552	870
2962	898	20
2963	101	411
2964	445	64
2965	707	922
2966	658	675
2967	101	761
2968	389	661
2969	979	522
2970	649	318
2971	803	447
2972	382	866
2973	487	977
2974	655	865
2975	775	742
2976	991	135
2977	63	548
2978	309	835
2979	904	356
2980	156	683
2981	361	805
2982	336	633
2983	485	554
2984	783	281
2985	402	208
2986	561	260
2987	69	10
2988	224	845
2989	635	169
2990	198	304
2991	887	984
2992	948	737
2993	156	672
2994	962	341
2995	768	551
2996	780	109
2997	138	956
2998	374	348
2999	142	236
3000	290	582
3001	110	175
3002	633	712
3003	957	424
3004	440	334
3005	540	693
3006	86	251
3007	337	638
3008	125	831
3009	680	957
3010	190	339
3011	354	462
3012	633	16
3013	13	82
3014	364	935
3015	257	994
3016	290	5
3017	65	541
3018	203	597
3019	185	476
3020	796	36
3021	834	296
3022	402	11
3023	524	541
3024	893	308
3025	819	224
3026	609	669
3027	677	379
3028	395	688
3029	146	589
3030	428	229
3031	43	303
3032	859	600
3033	235	478
3034	217	918
3035	360	20
3036	42	444
3037	92	437
3038	842	679
3039	768	25
3040	471	315
3041	143	304
3042	374	898
3043	846	575
3044	260	450
3045	604	942
3046	390	271
3047	353	415
3048	290	570
3049	755	574
3050	447	351
3051	82	554
3052	998	196
3053	546	853
3054	310	953
3055	649	238
3056	250	34
3057	608	925
3058	983	9
3059	653	358
3060	290	875
3061	17	570
3062	732	593
3063	759	345
3064	963	935
3065	635	535
3066	362	279
3067	356	82
3068	48	899
3069	13	475
3070	906	65
3071	520	428
3072	158	315
3073	51	334
3074	282	593
3075	13	899
3076	69	384
3077	528	36
3078	104	187
3079	888	616
3080	735	970
3081	551	190
3082	207	463
3083	949	427
3084	302	344
3085	543	637
3086	337	967
3087	748	946
3088	641	892
3089	845	897
3090	354	643
3091	491	810
3092	805	402
3093	989	233
3094	305	428
3095	383	742
3096	282	110
3097	305	430
3098	942	825
3099	108	317
3100	31	708
3101	179	52
3102	116	444
3103	706	774
3104	349	165
3105	972	173
3106	582	746
3107	136	453
3108	976	763
3109	862	245
3110	205	785
3111	335	492
3112	511	988
3113	582	68
3114	513	794
3115	128	333
3116	703	108
3117	921	713
3118	275	913
3119	587	421
3120	549	372
3121	596	307
3122	313	674
3123	798	77
3124	433	976
3125	131	605
3126	780	885
3127	164	52
3128	459	808
3129	469	421
3130	355	539
3131	820	203
3132	852	516
3133	967	381
3134	573	783
3135	412	31
3136	739	169
3137	621	882
3138	763	401
3139	369	581
3140	474	771
3141	630	429
3142	83	781
3143	782	69
3144	977	752
3145	138	794
3146	48	760
3147	308	591
3148	582	915
3149	978	371
3150	202	623
3151	566	92
3152	861	303
3153	755	888
3154	603	932
3155	939	792
3156	797	601
3157	266	397
3158	386	168
3159	189	619
3160	578	192
3161	253	782
3162	515	151
3163	98	214
3164	312	255
3165	458	509
3166	9	976
3167	187	562
3168	373	557
3169	181	141
3170	678	716
3171	140	98
3172	624	84
3173	512	259
3174	906	841
3175	430	878
3176	16	915
3177	509	172
3178	874	867
3179	661	517
3180	248	237
3181	736	679
3182	899	123
3183	377	242
3184	88	393
3185	290	420
3186	74	52
3187	951	688
3188	194	543
3189	888	197
3190	917	198
3191	698	292
3192	230	80
3193	895	107
3194	851	470
3195	148	807
3196	737	862
3197	229	30
3198	613	953
3199	159	843
3200	260	23
3201	612	415
3202	291	343
3203	895	54
3204	580	261
3205	904	629
3206	593	719
3207	745	941
3208	451	104
3209	216	784
3210	435	32
3211	440	593
3212	719	554
3213	724	273
3214	643	408
3215	561	556
3216	612	573
3217	815	264
3218	144	482
3219	723	802
3220	854	236
3221	524	891
3222	591	926
3223	399	467
3224	538	488
3225	518	448
3226	803	197
3227	827	489
3228	640	599
3229	404	355
3230	368	282
3231	311	163
3232	612	232
3233	679	912
3234	326	430
3235	315	276
3236	269	144
3237	519	31
3238	342	689
3239	741	842
3240	587	192
3241	828	644
3242	381	810
3243	538	79
3244	489	773
3245	386	494
3246	221	257
3247	870	503
3248	393	250
3249	407	229
3250	979	592
3251	620	385
3252	219	785
3253	127	648
3254	491	281
3255	649	539
3256	227	397
3257	428	942
3258	352	905
3259	496	305
3260	30	433
3261	599	121
3262	182	735
3263	840	11
3264	585	908
3265	541	236
3266	158	659
3267	569	858
3268	575	476
3269	311	498
3270	218	705
3271	377	719
3272	874	957
3273	572	804
3274	479	83
3275	652	915
3276	712	335
3277	635	483
3278	332	908
3279	857	950
3280	863	299
3281	489	817
3282	719	497
3283	536	275
3284	905	415
3285	504	502
3286	619	617
3287	556	87
3288	667	592
3289	447	461
3290	843	21
3291	934	463
3292	513	584
3293	720	689
3294	322	646
3295	865	445
3296	723	114
3297	236	296
3298	919	12
3299	966	833
3300	885	338
3301	199	72
3302	446	944
3303	602	615
3304	174	719
3305	389	620
3306	216	758
3307	285	679
3308	104	430
3309	76	227
3310	617	347
3311	178	912
3312	263	628
3313	817	685
3314	353	502
3315	323	978
3316	503	427
3317	743	991
3318	908	977
3319	429	254
3320	386	512
3321	582	287
3322	838	227
3323	121	327
3324	852	657
3325	388	906
3326	738	215
3327	526	381
3328	779	918
3329	577	699
3330	618	726
3331	653	13
3332	1000	765
3333	593	44
3334	291	617
3335	487	869
3336	534	856
3337	443	769
3338	254	411
3339	524	969
3340	897	581
3341	567	735
3342	577	401
3343	741	583
3344	624	659
3345	884	132
3346	275	700
3347	698	231
3348	753	658
3349	43	828
3350	728	804
3351	4	135
3352	73	741
3353	171	138
3354	129	299
3355	421	34
3356	118	378
3357	322	829
3358	722	379
3359	51	981
3360	353	438
3361	578	334
3362	917	172
3363	226	258
3364	260	319
3365	364	557
3366	868	815
3367	51	808
3368	771	265
3369	570	296
3370	512	731
3371	112	109
3372	354	581
3373	260	986
3374	596	63
3375	828	336
3376	942	536
3377	981	393
3378	323	66
3379	439	117
3380	588	556
3381	271	522
3382	991	708
3383	466	977
3384	745	118
3385	297	502
3386	28	455
3387	607	399
3388	114	183
3389	512	405
3390	945	645
3391	748	731
3392	167	598
3393	982	529
3394	183	784
3395	971	406
3396	627	170
3397	319	95
3398	818	427
3399	725	815
3400	217	34
3401	353	408
3402	495	560
3403	325	473
3404	251	735
3405	781	505
3406	851	399
3407	636	804
3408	806	528
3409	521	457
3410	937	232
3411	909	808
3412	277	262
3413	787	602
3414	293	459
3415	377	28
3416	522	755
3417	947	149
3418	48	679
3419	852	759
3420	397	12
3421	895	788
3422	448	239
3423	392	607
3424	331	336
3425	378	41
3426	118	267
3427	183	588
3428	429	429
3429	133	288
3430	959	770
3431	141	765
3432	509	955
3433	884	112
3434	191	485
3435	810	88
3436	521	933
3437	679	385
3438	562	613
3439	519	392
3440	119	832
3441	39	728
3442	50	301
3443	402	932
3444	670	709
3445	341	394
3446	827	17
3447	39	784
3448	726	629
3449	975	407
3450	643	274
3451	347	133
3452	694	173
3453	560	816
3454	704	814
3455	828	119
3456	57	442
3457	261	828
3458	133	506
3459	520	357
3460	541	545
3461	684	455
3462	505	142
3463	214	295
3464	543	290
3465	653	891
3466	854	164
3467	973	112
3468	347	873
3469	619	499
3470	243	961
3471	827	214
3472	950	527
3473	112	401
3474	733	552
3475	60	238
3476	117	449
3477	121	78
3478	157	307
3479	10	59
3480	700	58
3481	522	242
3482	563	212
3483	358	682
3484	196	500
3485	32	382
3486	853	794
3487	954	890
3488	539	506
3489	959	52
3490	942	504
3491	640	362
3492	95	229
3493	936	731
3494	984	317
3495	46	959
3496	690	732
3497	561	194
3498	963	924
3499	721	690
3500	242	518
3501	922	422
3502	473	640
3503	340	965
3504	606	53
3505	500	792
3506	582	809
3507	541	275
3508	417	52
3509	94	242
3510	976	361
3511	60	430
3512	452	235
3513	998	557
3514	633	643
3515	577	875
3516	625	630
3517	942	476
3518	17	622
3519	919	131
3520	400	730
3521	258	982
3522	423	729
3523	663	53
3524	404	847
3525	613	962
3526	654	424
3527	788	788
3528	623	467
3529	649	987
3530	747	935
3531	475	390
3532	378	140
3533	435	419
3534	990	633
3535	986	540
3536	63	207
3537	693	350
3538	783	459
3539	7	347
3540	370	696
3541	529	995
3542	395	93
3543	54	689
3544	334	183
3545	308	757
3546	746	523
3547	252	928
3548	996	862
3549	829	792
3550	833	135
3551	468	68
3552	121	566
3553	645	638
3554	610	326
3555	598	760
3556	661	779
3557	789	507
3558	377	78
3559	738	303
3560	157	619
3561	1	57
3562	925	167
3563	84	933
3564	238	236
3565	873	192
3566	726	523
3567	348	624
3568	836	497
3569	353	116
3570	563	725
3571	534	586
3572	452	511
3573	243	98
3574	156	378
3575	646	858
3576	974	864
3577	49	933
3578	915	289
3579	903	530
3580	785	26
3581	821	457
3582	618	560
3583	627	555
3584	215	52
3585	19	820
3586	708	218
3587	28	610
3588	931	653
3589	751	280
3590	124	234
3591	350	275
3592	450	266
3593	23	288
3594	227	899
3595	350	368
3596	121	699
3597	399	821
3598	621	282
3599	360	511
3600	673	949
3601	884	448
3602	622	576
3603	551	990
3604	352	619
3605	757	650
3606	610	433
3607	440	233
3608	251	339
3609	276	50
3610	712	409
3611	882	117
3612	636	587
3613	563	658
3614	281	843
3615	263	491
3616	649	858
3617	509	372
3618	895	234
3619	746	244
3620	575	977
3621	968	582
3622	583	486
3623	434	260
3624	415	889
3625	176	577
3626	57	609
3627	104	750
3628	538	681
3629	274	390
3630	974	298
3631	604	260
3632	710	692
3633	797	190
3634	402	366
3635	820	164
3636	388	501
3637	562	4
3638	13	806
3639	565	399
3640	238	478
3641	545	716
3642	463	88
3643	707	688
3644	969	481
3645	914	576
3646	662	31
3647	399	30
3648	251	851
3649	393	929
3650	395	44
3651	20	409
3652	481	577
3653	59	19
3654	994	370
3655	212	107
3656	278	126
3657	711	151
3658	717	477
3659	801	824
3660	869	6
3661	384	240
3662	148	430
3663	442	263
3664	47	573
3665	265	930
3666	540	139
3667	234	161
3668	460	0
3669	434	480
3670	457	193
3671	668	349
3672	962	208
3673	334	250
3674	574	273
3675	359	967
3676	86	182
3677	489	575
3678	484	267
3679	565	570
3680	190	781
3681	458	846
3682	407	679
3683	481	122
3684	878	648
3685	191	975
3686	497	253
3687	147	650
3688	468	149
3689	911	851
3690	866	872
3691	11	461
3692	935	404
3693	928	697
3694	697	488
3695	760	831
3696	358	736
3697	246	420
3698	91	976
3699	8	64
3700	53	870
3701	959	964
3702	274	512
3703	635	663
3704	451	779
3705	869	709
3706	698	98
3707	362	921
3708	739	275
3709	238	650
3710	394	755
3711	707	492
3712	103	536
3713	566	345
3714	825	267
3715	497	458
3716	772	650
3717	618	376
3718	351	222
3719	241	18
3720	985	870
3721	4	595
3722	329	116
3723	927	482
3724	611	363
3725	155	173
3726	116	935
3727	255	98
3728	178	705
3729	621	660
3730	474	903
3731	732	347
3732	298	832
3733	987	101
3734	123	169
3735	855	505
3736	111	667
3737	270	962
3738	107	447
3739	409	481
3740	143	878
3741	35	140
3742	822	583
3743	814	979
3744	403	64
3745	668	72
3746	997	255
3747	771	120
3748	398	499
3749	560	434
3750	212	507
3751	206	401
3752	249	882
3753	155	386
3754	511	901
3755	352	969
3756	10	742
3757	480	458
3758	709	895
3759	69	874
3760	107	8
3761	93	748
3762	227	220
3763	604	125
3764	665	969
3765	962	571
3766	243	613
3767	569	721
3768	650	329
3769	886	518
3770	723	363
3771	23	324
3772	299	203
3773	96	773
3774	54	105
3775	450	546
3776	342	601
3777	430	877
3778	595	481
3779	392	256
3780	37	739
3781	449	967
3782	895	685
3783	682	848
3784	839	972
3785	812	918
3786	10	790
3787	251	770
3788	43	240
3789	350	11
3790	528	351
3791	157	728
3792	20	965
3793	709	467
3794	760	393
3795	986	675
3796	469	913
3797	107	43
3798	921	858
3799	337	358
3800	921	682
3801	660	603
3802	187	293
3803	47	312
3804	162	404
3805	208	524
3806	707	813
3807	371	129
3808	263	674
3809	159	896
3810	815	562
3811	529	96
3812	658	153
3813	799	556
3814	841	168
3815	563	149
3816	828	621
3817	704	649
3818	621	500
3819	964	120
3820	725	983
3821	238	861
3822	773	683
3823	615	899
3824	548	324
3825	361	319
3826	277	596
3827	342	213
3828	68	871
3829	125	580
3830	177	384
3831	472	725
3832	318	369
3833	38	36
3834	468	405
3835	433	898
3836	244	601
3837	835	827
3838	14	476
3839	749	427
3840	827	596
3841	263	635
3842	573	422
3843	633	694
3844	308	860
3845	673	170
3846	52	622
3847	739	366
3848	396	30
3849	800	1000
3850	212	365
3851	86	211
3852	159	744
3853	584	688
3854	1	115
3855	715	532
3856	630	756
3857	554	525
3858	966	675
3859	864	120
3860	255	597
3861	419	719
3862	191	520
3863	914	151
3864	388	398
3865	267	699
3866	559	833
3867	97	18
3868	145	21
3869	586	854
3870	314	977
3871	783	119
3872	715	593
3873	26	84
3874	200	59
3875	897	475
3876	965	43
3877	647	309
3878	474	316
3879	549	99
3880	301	402
3881	542	478
3882	395	537
3883	230	377
3884	243	136
3885	518	493
3886	733	709
3887	626	738
3888	56	948
3889	863	96
3890	909	313
3891	795	370
3892	550	773
3893	233	188
3894	847	229
3895	356	216
3896	297	788
3897	961	220
3898	688	51
3899	505	349
3900	712	905
3901	777	879
3902	816	525
3903	844	423
3904	804	50
3905	104	587
3906	850	364
3907	676	565
3908	258	675
3909	930	402
3910	243	336
3911	240	693
3912	855	495
3913	839	160
3914	833	859
3915	630	953
3916	7	316
3917	919	267
3918	916	310
3919	262	878
3920	221	918
3921	204	139
3922	614	768
3923	118	918
3924	695	680
3925	910	537
3926	784	679
3927	150	96
3928	178	793
3929	100	366
3930	460	768
3931	217	438
3932	579	834
3933	385	812
3934	537	417
3935	937	547
3936	122	667
3937	844	309
3938	272	77
3939	367	111
3940	394	813
3941	207	212
3942	631	237
3943	684	985
3944	942	849
3945	828	5
3946	45	566
3947	541	687
3948	655	49
3949	334	72
3950	762	684
3951	500	563
3952	15	615
3953	634	881
3954	121	559
3955	418	805
3956	33	175
3957	546	912
3958	217	212
3959	251	132
3960	757	624
3961	736	875
3962	814	230
3963	132	6
3964	289	657
3965	693	448
3966	961	599
3967	688	369
3968	522	898
3969	938	277
3970	49	83
3971	17	388
3972	472	717
3973	705	8
3974	344	908
3975	93	222
3976	461	541
3977	344	665
3978	363	212
3979	485	833
3980	950	34
3981	202	764
3982	535	612
3983	337	716
3984	375	458
3985	917	346
3986	335	370
3987	500	195
3988	649	651
3989	660	601
3990	204	985
3991	832	810
3992	295	488
3993	369	223
3994	514	305
3995	318	275
3996	898	754
